Key,Was,Is
2009813190_80,Other,Other than powdered
2009815100_10,Other,"Other than of a value exceeding 25.00 GBP per 100 kg net weight, containing added sugar"
2009815190_80,Other,Other than powdered
2009815990_80,Other,Other than powdered
2009819590_80,Other,Other than powdered
2009819900_80,Other,Other than juice of fruit of the species Vaccinium macrocarpon
2009819990_80,Other,Other than powdered
2009890000_80,Other,"Other than cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos) juice; lingonberry (Vaccinium vitis-idaea) juice"
2009891119_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009891191_10,Other,Other than powdered
2009891199_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009891900_80,Other,Other than of a value not exceeding 18.00 GBP per 100 kg net weight
2009891990_80,Other,Other than powdered
2009893400_10,Other,Other than pear juice
2009893470_80,Other,Other than powdered
2009893500_80,Other,Other than juices of tropical fruit
2009893529_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009893531_10,Other,Other than powdered
2009893539_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009893545_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009893547_10,Other,Other than powdered
2009893549_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009893559_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009893571_10,Other,Other than powdered
2009893579_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009893600_10,Other,Other than of a value not exceeding 25.00 GBP per 100 kg net weight
2009893690_80,Other,Other than powdered
2009893800_80,Other,Other than juices of tropical fruit
2009893819_80,Other,Other than powdered
2009893829_80,Other,Other than powdered
2009893899_80,Other,Other than powdered
2009895090_80,Other,Other than powdered
2009896100_10,Other,"Other than of a value exceeding 15.00 GBP per 100 kg net weight, containing added sugar"
2009896190_80,Other,Other than powdered
2009896390_80,Other,Other than powdered
2009896990_80,Other,Other than powdered
2009897100_10,Other,Other than pear juice
2009897190_80,Other,Other than powdered
2009897313_80,Other,Other than powdered
2009897391_10,Other,"Other than passion fruit juice and passion fruit juice concentrate, whether or not frozen: - with a Brix value of 13,7 or more but not more than 55, - of a value of more than 25.00 GBP per 100 kg net weight, - in immediate packings of a content of 50 liters or more, and - with added sugar for the use in the manufacture of products of food or drink industry"
2009897399_80,Other,Other than powdered
2009897919_80,Other,Other than powdered
2009897949_80,Other,Other than powdered
2009897999_80,Other,Other than powdered
2009898500_10,Other,"Other than of a value exceeding 25.00 GBP per 100 kg net weight, containing added sugar"
2009898590_80,Other,Other than powdered
2009898600_80,Other,Other than juices of tropical fruit
2009898619_80,Other,Other than powdered
2009898629_80,Other,Other than powdered
2009898699_80,Other,Other than powdered
2009898890_80,Other,Other than powdered
2009898900_80,Other,Other than juices of tropical fruit
2009898919_80,Other,Other than powdered
2009898929_80,Other,Other than powdered
2009898999_80,Other,Other than powdered
2009899690_80,Other,Other than powdered
2009899729_80,Other,Other than powdered
2009899791_10,Other,"Other than passion fruit juice and passion fruit juice concentrate, whether or not frozen: - with a Brix value of 10 or more but not more than 13,7, - of a value of more than 25.00 GBP per 100 kg net weight, - in immediate packings of a content of 50 liters or more, and - without added sugar for the use in the manufacture of products of food or drink industry"
2009899799_80,Other,Other than powdered
2009899992_10,Other,Other than powdered
2009901190_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009901900_80,Other,Other than of a value not exceeding 18.00 GBP per 100 kg net weight
2009902100_10,Other,Other than mixtures of apple and pear juice
2009902119_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009902191_10,Other,Other than mixtures of citrus juices
2009902199_80,Other,Other than with an added sugar content not exceeding 30 % by weight
2009902900_80,Other,Other than of a value not exceeding 25.00 GBP per 100 kg net weight
2009902980_80,Other,Other than mixtures of citrus juices
2009903900_80,Other,Other than of a value not exceeding 15.00 GBP per 100 kg net weight and with an added sugar content exceeding 30 % by weight
2009904100_10,Other,Other than mixtures of apple and pear juice
2009904900_80,Other,Other than containing added sugar
2009905100_10,Other,Other than mixtures of citrus fruit juices and pineapple juice
2009905180_80,Other,Other than mixtures of citrus juices
2009905900_80,Other,Other than containing added sugar
2009905990_80,Other,Other than mixtures of citrus juices
2009909200_10,Other,Other than mixtures of citrus fruit juices and pineapple juice
2009909400_80,Other,Other than mixtures of juices of tropical fruit
2009909480_80,Other,Other than mixtures of citrus juices
2009909600_80,Other,Other than mixtures of juices of tropical fruit
2009909680_80,Other,Other than mixtures of citrus juices
2009909800_80,Other,Other than mixtures of juices of tropical fruit
2009909880_80,Other,Other than mixtures of citrus juices
2101129292_10,Other,"Other than containing no milkfats, milk proteins, sucrose, isoglucose, glucose or starch or containing less than 1,5 % milkfat, 2,5 % milk proteins, 5 % sucrose or isoglucose, 5 % glucose or starch"
2101129299_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2101129800_80,Other,"Other than preparations with a basis of these extracts, essences or concentrates of coffee"
2101129892_10,Other,"Other than containing no milkfats, milk proteins, sucrose, isoglucose, glucose or starch or containing less than 1,5 % milkfat, 2,5 % milk proteins, 5 % sucrose or isoglucose, 5 % glucose or starch"
2101129894_10,Other,Other than containing 70 % or more by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose
2101129899_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2101209282_10,Other,"Other than containing no milkfats, milk proteins, sucrose, isoglucose, glucose or starch or containing less than 1,5 % milkfat, 2,5 % milk proteins, 5 % sucrose or isoglucose, 5 % glucose or starch"
2101209299_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2101209800_80,Other,"Other than with a basis of extracts, essences or concentrates of tea or mate"
2101209885_10,Other,"Other than containing no milkfats, milk proteins, sucrose, isoglucose, glucose or starch or containing less than 1,5 % milkfat, 2,5 % milk proteins, 5 % sucrose or isoglucose, 5 % glucose or starch"
2101209887_10,Other,Other than containing 70 % or more by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose
2101209899_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2101301900_80,Other,Other than roasted chicory
2101309900_80,Other,Other than of roasted chicory
2102101090_80,Other,Other than for feeding purpose
2102103900_80,Other,Other than dried
2102109090_80,Other,Other than for feeding purpose
2102201190_80,Other,Other than for feeding purpose
2102201900_80,Other,"Other than in tablet, cube or similar form, or in immediate packings of a net content not exceeding 1 kg"
2102201990_80,Other,Other than for feeding purpose
2102209000_80,Other,Other than inactive yeasts
2103909019_80,Other,"Other than monosodium glutamate in mixture or in solution, containing by dry weight 50 % or more of monosodium glutamate"
2103909081_10,Other,Other than containing tomato
2103909089_80,Other,"Other than monosodium glutamate in mixture or in solution, containing by dry weight 50 % or more of monosodium glutamate"
2104100019_80,Other,"Other than monosodium glutamate in mixture or in solution, containing by dry weight 50 % or more of monosodium glutamate"
2104100081_10,Other,Other than containing tomato
2104100089_80,Other,"Other than monosodium glutamate in mixture or in solution, containing by dry weight 50 % or more of monosodium glutamate"
2104200090_80,Other,"Other than monosodium glutamate in mixture or in solution, containing by dry weight 50 % or more of monosodium glutamate"
2106108000_80,Other,"Other than containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5 % milkfat, 5 % sucrose or isoglucose, 5 % glucose or starch"
2106108039_80,Other,Other than containing less than 65 % by net weight of added cane or beet sugar of subheading 1701 91 to 1701 99
2106108070_80,Other,"Other than containing more than 1% milk fats, 1% other fats or more than 5% sugars"
2106900000_80,Other,Other than protein concentrates and textured protein substances
2106902090_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106903090_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106905100_10,Other,Other than isoglucose syrups
2106905190_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106905590_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106905992_10,Other,Other than containing 70 % or more by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose
2106905999_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106909800_80,Other,"Other than containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5 % milkfat, 5 % sucrose or isoglucose, 5 % glucose or starch"
2106909828_10,Other,Other than of a kind used in drink industries containing 70% or more by weight of sucrose/isosucrose
2106909830_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106909833_80,Other,Other than containing less than 70 % by weight of sugar
2106909834_10,Other,Other than in immediate packings of a net capacity of 1 kg or less
2106909835_10,Other,Other than of a kind used in drink industries containing 70% or more by weight of sucrose/isosucrose
2106909836_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106909838_80,Other,Other than containing less than 70 % by weight of sugar
2106909842_10,Other,Other than containing 26 % or more by weight of milkfat
2106909843_80,Other,Other than containing 65 % or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99
2106909845_10,Other,Other than containing 60 % or more by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose
2106909853_10,Other,Other than containing less than 70 % by weight of sucrose (including invert sugar expressed as sucrose)
2106909855_80,Other,Other than of a kind used in drink industries
2201101900_80,Other,Other than not carbonated
2201109000_80,Other,Other than natural mineral waters
2201900000_80,Other,Other than mineral waters and aerated waters
2202910000_10,Other,"Other than waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured"
2202910090_80,Other,Other than containing sugar (sucrose or invert sugar)
2202990000_80,Other,Other than non-alcoholic beer
2202991119_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202991191_10,Other,Other than containing sugar (sucrose or invert sugar)
2202991199_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202991519_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202991591_10,Other,Other than containing sugar (sucrose or invert sugar)
2202991599_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202991919_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202991991_10,Other,Other than containing sugar (sucrose or invert sugar)
2202991999_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202999190_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202999590_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2202999990_80,Other,Other than fruit juice or vegetable juice diluted with water or aerated
2203000900_80,Other,Other than in bottles
2204211100_10,Other,"Other than wine, other than that referred to in subheading 2204 10, in bottles with 'mushroom' stoppers held in place by ties or fastenings; wine, otherwise put up, with an excess pressure due to carbon dioxide in solution of not less than 1 bar but less than 3 bar, measured at a temperature of 20 degC"
2204214200_10,Other,Other than white
2204218000_80,Other,Other than white
2204218200_80,Other,Other than white
2204218400_80,Other,Other than white
2204219100_80,Other,Other than wine with a protected designation of origin (PDO) or a protected geographical indication (PGI)
2204219300_10,Other,Other than produced in the European Union
2204219400_80,Other,Other than white
2204219461_10,Other,Other than wine of fresh grapes
2204219600_80,Other,Other than white
2204219661_10,Other,Other than wine of fresh grapes
2204219800_80,Other,Other than white
2204219861_10,Other,Other than wine of fresh grapes
2204222200_10,Other,"Other than wine, other than that referred to in subheading 2204 10, in bottles with 'mushroom' stoppers held in place by ties or fastenings; wine, otherwise put up, with an excess pressure due to carbon dioxide in solution of not less than 1 bar but less than 3 bar, measured at a temperature of 20 degC"
2204227800_80,Other,Other than white
2204228000_80,Other,Other than white
2204228200_80,Other,Other than white
2204228400_80,Other,Other than white
2204229100_80,Other,Other than wine with a protected designation of origin (PDO) or a protected geographical indication (PGI)
2204229300_10,Other,Other than produced in the European Union
2204229400_80,Other,Other than white
2204229461_10,Other,Other than wine of fresh grapes
2204229600_80,Other,Other than white
2204229661_10,Other,Other than wine of fresh grapes
2204229800_80,Other,Other than white
2204229861_10,Other,Other than wine of fresh grapes
2204292200_10,Other,"Other than wine, other than that referred to in subheading 2204 10, in bottles with 'mushroom' stoppers held in place by ties or fastenings; wine, otherwise put up, with an excess pressure due to carbon dioxide in solution of not less than 1 bar but less than 3 bar, measured at a temperature of 20 degC"
2204297800_80,Other,Other than white
2204298000_80,Other,Other than white
2204298200_80,Other,Other than white
2204298400_80,Other,Other than white
2204299100_80,Other,Other than wine with a protected designation of origin (PDO) or a protected geographical indication (PGI)
2204299300_10,Other,Other than produced in the European Union
2204299400_80,Other,Other than white
2204299461_10,Other,Other than wine of fresh grapes
2204299600_80,Other,Other than white
2204299661_10,Other,Other than wine of fresh grapes
2204299800_80,Other,Other than white
2204299861_10,Other,Other than wine of fresh grapes
2204309200_10,Other,Other than in fermentation or with fermentation arrested otherwise than by the addition of alcohol
2204309400_80,Other,Other than concentrated
2204309600_10,Other,"Other than of a density of 1,33 g/cm3 or less at 20 degC and of an actual alcoholic strength by volume not exceeding 1 % vol"
2204309800_80,Other,Other than concentrated
2205900000_80,Other,Other than in containers holding 2 litres or less
2206003100_10,Other,Other than piquette
2206003900_80,Other,Other than cider and perry
2206005900_80,Other,Other than cider and perry
2206008900_80,Other,Other than cider and perry
2207100090_80,Other,Other than goods obtained from agricultural products listed in Annex I to the Treaty on the Functioning of the European Union
2207200090_80,Other,Other than goods obtained from agricultural products listed in Annex I to the Treaty on the Functioning of the European Union
2208201800_80,Other,Other than brandy de Jerez
2208202800_80,Other,Other than grappa
2208208800_80,Other,Other than grappa
2208403100_10,Other,Other than rum with a content of volatile substances other than ethyl and methyl alcohol equal to or exceeding 225 grams per hectolitre of pure alcohol (with a 10 % tolerance)
2208403900_80,Other,Other than of a value exceeding 6.60 GBP per litre of pure alcohol
2208409100_10,Other,Other than rum with a content of volatile substances other than ethyl and methyl alcohol equal to or exceeding 225 grams per hectolitre of pure alcohol (with a 10 % tolerance)
2208409900_80,Other,Other than of a value exceeding 1.60 GBP per litre of pure alcohol
2208904500_10,Other,Other than ouzo
2208904800_80,Other,Other than calvados
2208905400_10,Other,Other than distilled from fruit
2208905600_80,Other,Other than tequila
2208909190_80,Other,Other than goods obtained from agricultural products listed in Annex I to the Treaty on the Functioning of the European Union
2208909919_80,Other,"Other than ethyl alcohol produced from agricultural products (as listed in Annex I to the Treaty on the Functioning of the European Union), excluding products with a water content of more than 0,3 % (m/m) measured according to the standard EN 15376"
2208909990_80,Other,Other than goods obtained from agricultural products listed in Annex I to the Treaty on the Functioning of the European Union
2302109000_80,Other,Other than with a starch content not exceeding 35 % by weight
2302309000_80,Other,"Other than of which the starch content does not exceed 28 % by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm does not exceed 10 % by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, equal to or more than 1,5 % by weight"
2302400800_80,Other,Other than with a starch content not exceeding 35 % by weight
2302401000_10,Other,Other than of rice
2302409000_80,Other,"Other than of which the starch content does not exceed 28 % by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm does not exceed 10 % by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, equal to or more than 1,5 % by weight"
2303101190_80,Other,Other than corn gluten
2303109000_80,Other,"Other than residues from the manufacture of starch from maize (excluding concentrated steeping liquors), of a protein content, calculated on the dry product"
2303209000_80,Other,Other than beet-pulp
2306490000_80,Other,Other than of low erucic acid rape or colza seeds
2306901100_10,Other,Other than of maize (corn) germ
2306909000_80,Other,Other than oilcake and other residues resulting from the extraction of olive oil
2307001900_80,Other,"Other than having a total alcoholic strength by mass not exceeding 7,9 % mas and a dry matter content not less than 25 % by weight"
2308001900_80,Other,"Other than having a total alcoholic strength by mass not exceeding 4,3 % mas and a dry matter content not less than 40 % by weight"
2308004090_80,Other,Other than citrus pulp residues
2309109000_80,Other,"Other than containing starch, glucose, glucose syrup, maltodextrine or maltodextrine syrup of subheadings 1702 30 50, 1702 30 90, 1702 40 90, 1702 90 50 and 2106 90 55 or milk products"
2309900000_80,Other,"Other than dog or cat food, put up for retail sale"
2309901031_10,Other,Other than fish feed
2309901039_80,Other,"Other than dog or cat food, not put up for retail sale"
2309901091_10,Other,Other than fish feed
2309901099_80,Other,"Other than dog or cat food, not put up for retail sale"
2309903114_80,Other,"Other than dog or cat food, not put up for retail sale"
2309903117_10,Other,"Other than containing by weight 15,5 % or more of protein"
2309903119_80,Other,"Other than dog or cat food, not put up for retail sale"
2309903187_10,Other,"Other than dog or cat food, not put up for retail sale"
2309903188_80,Other,"Other than soya bean protein concentrate containing by weight: - 60 % (+- 10 %) of crude protein, - 5 % (+- 3 %) of crude fibre, - 5 % (+- 3 %) of crude ash, and - 3 % or more but not more than 6,9 % of starch for use in the manufacture of animal feed products"
2309903390_80,Other,"Other than dog or cat food, not put up for retail sale"
2309903590_80,Other,"Other than dog or cat food, not put up for retail sale"
2309903990_80,Other,"Other than dog or cat food, not put up for retail sale"
2309904149_80,Other,"Other than dog or cat food, not put up for retail sale"
2309904151_10,Other,"Other than containing by weight 15,5 % or more of protein and not more than 23 % of starch"
2309904159_80,Other,"Other than dog or cat food, not put up for retail sale"
2309904189_80,Other,"Other than dog or cat food, not put up for retail sale"
2309904390_80,Other,"Other than dog or cat food, not put up for retail sale"
2309904990_80,Other,"Other than dog or cat food, not put up for retail sale"
2309905190_80,Other,"Other than dog or cat food, not put up for retail sale"
2309905390_80,Other,"Other than dog or cat food, not put up for retail sale"
2309905990_80,Other,"Other than dog or cat food, not put up for retail sale"
2309907090_80,Other,"Other than dog or cat food, not put up for retail sale"
2309909100_10,Other,"Other than containing starch, glucose, glucose syrup, maltodextrine or maltodextrine syrup of subheadings 1702 30 50, 1702 30 90, 1702 40 90, 1702 90 50 and 2106 90 55 or milk products"
2309909190_80,Other,"Other than dog or cat food, not put up for retail sale"
2309909600_80,Other,Other than beet-pulp with added molasses
2309909639_80,Other,"Other than dog or cat food, not put up for retail sale"
2309909691_10,Other,Other than mineral and vitamin complex
2309909695_80,Other,"Other than dog or cat food, not put up for retail sale"
2401103599_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401107090_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401108590_80,Other,Other than flue-cured Virginia type
2401109519_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401109521_10,Other,Other than kentucky type
2401109529_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401109599_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401203599_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401207090_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401208590_80,Other,Other than flue-cured Virginia type
2401209519_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401209521_10,Other,Other than kentucky type
2401209529_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2401209599_80,Other,"Other than whether or not cut in regular size, having a custom value of not less than Euro 450 per 100 kg net weight, for use as binder or wrapper for the manufacture of goods falling within subheading 2402 10 00"
2402209000_80,Other,Other than containing cloves
2403190000_80,Other,Other than water-pipe tobacco specified in subheading note 1 to this chapter
2403199000_80,Other,Other than in immediate packings of a net content not exceeding 500 g
2403910000_10,Other,"Other than smoking tobacco, whether or not containing tobacco substitutes in any proportion"
2403990000_80,Other,Other than 'Homogenised' or 'reconstituted' tobacco
2403999000_80,Other,Other than chewing tobacco and snuff
2404110090_80,Other,Other than containing reconstituted tobacco
2404120090_80,Other,"Other than cartridges and refills, filled, for electronic cigarettes, preparations for use in cartridges and refills for electronic cigarettes"
2404199000_80,Other,Other than containing tobacco substitutes
2404910000_10,Other,Other than products intended for inhalation without combustion
2404919000_80,Other,Other than nicotine containing products intended to assist tobacco use cessation
2501005100_10,Other,Other than for chemical transformation (separation of Na from Cl) for the manufacture of other products
2501009100_10,Other,Other than denatured or for industrial uses (including refining) other than the preservation or preparation of foodstuffs for human or animal consumption
2501009900_80,Other,Other than salt suitable for human consumption
2503009000_80,Other,Other than crude or unrefined sulphur
2504900000_80,Other,Other than in powder or in flakes
2505900000_80,Other,Other than silica sands and quartz sands
2517490000_80,Other,Other than of marble
2519900000_80,Other,Other than natural magnesium carbonate (magnesite)
2519901090_80,Other,Other than fused magnesia with a purity by weight of 94 % or more
2523290000_80,Other,"Other than white cement, whether or not artificially coloured"
2524900000_80,Other,Other than crocidolite
2530900090_80,Other,Other than calcium carbonate
2612109000_80,Other,"Other than uranium ores and pitchblende, and concentrates thereof, with a uranium content of more than 5 % by weight"
2612209000_80,Other,"Other than monazite; urano-thorianite and other thorium ores and concentrates, with a thorium content of more than 20 % by weight"
2613900000_80,Other,Other than roasted
2615900000_80,Other,Other than zirconium ores and concentrates
2615900090_80,Other,Other than tantalum or niobium ores and concentrates
2616900000_80,Other,Other than silver ores and concentrates
2616900090_80,Other,Other than gold ores and concentrates
2617900000_80,Other,Other than antimony ores and concentrates
2619009000_80,Other,Other than waste suitable for the recovery of iron or manganese
2620190000_80,Other,Other than hard zinc spelter
2620290000_80,Other,Other than leaded gasoline sludges and leaded anti-knock compound sludges
2620990000_80,Other,"Other than containing antimony, beryllium, cadmium, chromium or their mixtures"
2621900000_80,Other,Other than ash and residues from the incineration of municipal waste
2701129000_80,Other,Other than coking coal
2707500080_10,Other,"Other than mixture of xylenol-isomers and ethyl phenol-isomers, with a total xylenol content by weight of 62 % or more but less than 95 %"
2707990000_80,Other,Other than creosote oils
2707991900_80,Other,Other than crude light oils of which 90 % or more by volume distils at temperatures of up to 200 degC
2707992090_80,Other,Other than anthracene oil (CAS RN 90640-80-5)
2707998090_80,Other,"Other than mixture of xylenol-isomers and ethyl phenol-isomers, with a total xylenol content by weight of 62 % or more but less than 95 %"
2707999900_80,Other,Other than for the manufacture of the products of heading 2803
2707999990_80,Other,"Other than heavy and medium oils, whose aromatic content exceeds their non-aromatic content, for use as refinery feedstock to undergo one of the specific processes described in Additional note 5 to Chapter 27"
2708100090_80,Other,"Other than pitch, coal tar, high-temp. (CAS RN 65996-93-2)"
2709009000_80,Other,Other than natural gas condensates
2710122500_80,Other,Other than white spirit
2710122590_80,Other,"Other than mixture of C6 aliphatic hydrocarbons (CAS RN 92112-69-1), containing by weight 60 % or more but not more than 80 % of n-hexane (CAS RN 110-54-3), with: -a specific gravity of 0,666 or more but not more than 0,686, -a total of carbonyl compounds of less than 1 ppm, -a total of acetylenic compounds of less than 2 ppm"
2710123100_10,Other,Other than special spirits
2710190000_80,Other,Other than light oils and preparations
2710192500_80,Other,Other than jet fuel
2710192900_80,Other,Other than kerosene
2710194329_80,Other,Other than consigned from Canada
2710194629_80,Other,Other than consigned from Canada
2710194729_80,Other,Other than consigned from Canada
2710194890_80,Other,"Other than with a sulphur content not exceeding 0,2 % by weight"
2710201129_80,Other,Other than consigned from Canada
2710201629_80,Other,Other than consigned from Canada
2710201990_80,Other,"Other than with a sulphur content not exceeding 0,2 % by weight"
2710990000_80,Other,"Other than containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)"
2710990090_80,Other,Other than for undergoing a specific process
2711129100_10,Other,Other than propane of a purity of not less than 99 %
2711129700_80,Other,Other than of a purity exceeding 90 % but of less than 99 %
2711139700_80,Other,Other than of a purity exceeding 90 % but of less than 95 %
2711290000_80,Other,Other than natural gas
2712109000_80,Other,Other than crude
2712209000_80,Other,Other than synthetic paraffin wax of a molecular weight of 460 or more but not exceeding 1 560
2712901900_80,Other,Other than crude
2712903100_10,Other,"Other than ozokerite, lignite wax or peat wax (natural products)"
2712903990_80,Other,Other than slack wax (CAS RN 64742-61-6)
2712909100_10,Other,Other than crude
2712909900_80,Other,Other than blend of 1-alkenes containing by weight 80 % or more of 1-alkenes of a chain-length of 24 carbon atoms or more but not exceeding 28 carbon atoms
2712909990_80,Other,Other than blend of 1-alkenes containing by weight 90% or more 1-alkenes of a chain length of 24 carbon atoms or more but not more than 1% 1-alkenes of a chain length of more than 70 carbon atoms
2713909000_80,Other,Other than for the manufacture of the products of heading 2803
2714900000_80,Other,Other than bituminous or oil-shale and tar sands
2804290000_80,Other,Other than argon
2804299000_80,Other,Other than helium
2804509090_80,Other,"Other than tellurium (CAS RN 13494-80-9) of a purity by weight of 99,99 % or more, but not more than 99,999 %, based on metallic impurities measured by ICP analysis"
2804690000_80,Other,"Other than containing by weight not less than 99,99 % of silicon"
2804709000_80,Other,Other than red phosphorus
2805120090_80,Other,"Other than calcium with a purity of 98 % or more by weight, in powder or wire form (CAS RN 7440-70-2)"
2805199000_80,Other,Other than strontium and barium
2805199090_80,Other,"Other than lithium metal of a purity by weight of 98,8 % or more (CAS RN 7439-93-2)"
2805301030_10,Other,"Other than alloy of cerium with other rare-earth metals, containing by weight 47 % or more of cerium"
2805302000_10,Other,Other than intermixtures or interalloys
2805308000_80,Other,Other than of a purity by weight of 95% or more
2805409000_80,Other,"Other than in flasks of a net content of 34,5 kg (standard weight), of a fob value, per flask, not exceeding 18.00 GBP4"
2809200090_80,Other,"Other than aqueous solution of phosphoric acid (CAS RN 7664-38-2), containing by weight 85 % or more phosphoric acid"
2810009000_80,Other,Other than diboron trioxide
2811198000_80,Other,Other than hydrogen bromide (hydrobromic acid)
2811291090_80,Other,Other than diarsenic trioxide (CAS RN 1327-53-3)
2812199000_80,Other,Other than of phosphorus
2812900000_80,Other,Other than chlorides and chloride oxides
2812900090_80,Other,Other than nitrogen trifluoride (CAS RN 7783-54-2)
2813900000_80,Other,Other than carbon disulphide
2813909000_80,Other,"Other than phosphorus sulphides, commercial phosphorus trisulphide"
2816400090_80,Other,Other than barium hydroxide (CAS RN 17194-00-2)
2818101190_80,Other,"Other than sol-Gel corundum (CAS RN 1302-74-5) with an aluminium oxide content of 99,6 % or more by weight, having a micro crystalline structure in the form of rods with an aspect ratio of 1,3 or more, but not more than 6,0"
2818109190_80,Other,"Other than sintered corundum with a micro crystalline structure, consisting of aluminium oxide (CAS RN 1344-28-1), magnesium aluminate (CAS RN 12068-51-8) and the rare earth aluminates of yttrium, lanthanum, and neodymium, with a content by weight (calculated as oxides) of: - 94 % or more, but less than 98,5 % of aluminium oxide, - 2 % (+- 1,5 %) of magnesium oxide, - 1 % (+- 0,6 %) of yttrium oxide, and - either 2 % (+- 1,2 %) of lanthanum oxide or - 2 % (+- 1,2 %) of lanthanum oxide and neodymium oxide, with less than 50 % of the total weight having a particle size of more than 10 mm"
2818200090_80,Other,Other than activated alumina with a specific surface area of at least 350 m2/g
2819900000_80,Other,Other than chromium trioxide
2819909000_80,Other,Other than chromium dioxide
2820900000_80,Other,Other than manganese dioxide
2820909000_80,Other,Other than manganese oxide containing by weight 77 % or more of manganese
2823000090_80,Other,"Other than titanium dioxide (CAS RN 13463-67-7): - of a purity by weight of 99,9 % or more, - with an average grain-size of 0,7 mm or more but not more than 2,1 mm"
